        Date        ecHMS_Angle ecSHMS_Angle
2018-01-15 10:39:04          25        29.13
2018-01-15 10:39:05          25         29.1
2018-01-15 10:39:06          25        29.04
2018-01-15 10:39:07          25        28.97
2018-01-15 10:39:08          25        28.92
2018-01-15 10:39:09          25        28.91
2018-01-15 10:39:10          25        28.86
2018-01-15 10:39:11          25        28.79
2018-01-15 10:39:12          25        28.74
2018-01-15 10:39:13          25        28.71
2018-01-15 10:39:14          25        28.68
2018-01-15 10:39:15          25        28.63
2018-01-15 10:39:16          25        28.58
2018-01-15 10:39:17          25        28.53
2018-01-15 10:39:18          25        28.49
2018-01-15 10:39:19          25        28.44
2018-01-15 10:39:20          25         28.4
2018-01-15 10:39:21          25        28.35
2018-01-15 10:39:22          25         28.3
2018-01-15 10:39:23          25        28.26
2018-01-15 10:39:24          25        28.23
2018-01-15 10:39:25          25        28.17
2018-01-15 10:39:26          25         28.1
2018-01-15 10:39:27          25        28.05
2018-01-15 10:39:28          25        28.04
2018-01-15 10:39:29          25        28.01
2018-01-15 10:39:30          25        27.93
2018-01-15 10:39:31          25        27.88
2018-01-15 10:39:33          25        27.82
2018-01-15 10:39:34          25        27.75
2018-01-15 10:39:35          25         27.7
2018-01-15 10:39:36          25        27.67
2018-01-15 10:39:37          25        27.63
2018-01-15 10:39:38          25        27.58
2018-01-15 10:39:39          25        27.55
2018-01-15 10:39:40          25        27.51
2018-01-15 10:39:41          25        27.44
2018-01-15 10:39:42          25        27.41
2018-01-15 10:39:43          25        27.39
2018-01-15 10:39:44          25         27.3
2018-01-15 10:39:45          25        27.26
2018-01-15 10:39:46          25        27.23
2018-01-15 10:39:47          25        27.18
2018-01-15 10:39:48          25        27.13
2018-01-15 10:39:49          25        27.08
2018-01-15 10:39:50          25        27.05
2018-01-15 10:39:51          25        26.99
2018-01-15 10:39:52          25        26.95
2018-01-15 10:39:53          25        26.92
2018-01-15 10:39:54          25        26.86
2018-01-15 10:39:55          25        26.82
2018-01-15 10:39:56          25        26.78
2018-01-15 10:39:57          25        26.72
2018-01-15 10:39:58          25        26.68
